epoch;loss;factor foutmarge
0;0.036685366;1.554297838
1;0.007836441;1.226093732
2;0.007164196;1.21518269
3;0.004580609;1.16863851
4;0.008570005;1.237582964
5;0.008434962;1.235498
6;0.007080744;1.213800059
7;0.005599829;1.188042584
8;0.00510316;1.178789901
9;0.00420019;1.160937595
;;
;;
;;
;;
;;
Hyperparameter;Waarde;
Learning rate;0.001;
Batch size;16;
Epochs;10;
Grootte netwerk;32,32,1 (tanh);
;;
;;
Loss validatieset;0.0029;
Loss testset;0.0028;
