epoch;loss;factor foutmarge
0;0.086362921;1.96732309
1;0.042043;1.603407456
2;0.03998626;1.584767834
3;0.043311089;1.614779267
4;0.041131839;1.595180601
5;0.040916599;1.593230161
6;0.03710613;1.55822266
7;0.037880432;1.565413084
8;0.038129732;1.567719495
9;0.039045233;1.576154068
;;
;;
;;
;;
;;
;;
Hyperparameter;Waarde;
Learning rate;0.001;
Batch size;32;
Epochs;10;
Grootte netwerk;32,32,32,1 (tanh);
;;
;;
Loss validatieset;0.0366;
Loss testset;0.0343;
