epoch;loss;factor foutmarge
0;8.737870216;903.6263214
1;0.548282444;5.501244756
2;18.25370979;18725.61323
3;6.227248192;312.9287675
4;0.072899424;1.86208256
5;0.005346012;1.183358759
6;0.005503897;1.186282857
7;0.006065336;1.196410642
8;0.005962787;1.19459058
9;2.00185442;25.99375653
;;
;;
;;
;;
Hyperparameter;Waarde;
Learning rate;0.001;
Batch size;32;
Epochs;10;
Grootte netwerk;32,32,1 (relu);
;;
;;
Loss validatieset;1.642;
Loss testset;1.7186;
